job_id,status_update,event_time,timestamp
1,已申请,1762962673.6527348,1762962673.6527348
2,已申请,1762962682.359378,1762962682.359378
3,已申请,1762962694.3491752,1762962694.3491752
4,已申请,1762962701.6812258,1762962701.6812258
5,已申请,1762962710.3627155,1762962710.3627155
6,已申请,1762962720.6410582,1762962720.6410582
6,笔试,1765574400.0,1762964276.6286955
1,流程终止,-100.0,1762964284.4781003
5,面试,1766192400.0,1762964288.965278
5,二面,1767196800.0,1762964293.3290365
3,笔试,1764561600.0,1762964297.2862446
2,线下面试,1765324800.0,1762964301.97457
5,hr面,1767398400.0,1762964306.6089826
